code_zone_geo;zone_geographique;annee;code_type_org;type_d_organisme;code_indicateur;indicateur;code_type_pers;type_de_personnel;secret;non_disponible;etat_des_donnees;valeur
23;Haute-Normandie;2005;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;680.89
23;Haute-Normandie;2007;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;4636.74
23;Haute-Normandie;2009;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;121.38
23;Haute-Normandie;2010;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;2618.51
23;Haute-Normandie;2013;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;semi-définitif;2879.43
24;Centre;2002;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;4112.11
24;Centre;2008;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;1007.38
24;Centre;2012;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;3396.28
25;Basse-Normandie;2007;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;2150.78
25;Basse-Normandie;2009;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;1856.6
25;Basse-Normandie;2010;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;4422.97
25;Basse-Normandie;2010;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1109.81
25;Basse-Normandie;2011;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1874.12
26;Bourgogne;2003;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;2194.94
31;Nord-Pas-de-Calais;2002;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1520.59
24;Centre;2003;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;868.89
24;Centre;2003;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;1379.87
24;Centre;2005;0;Total administrations et entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;4599.22
24;Centre;2005;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1889.05
25;Basse-Normandie;2006;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;775.99
43;Franche-Comté;2009;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;807.38
43;Franche-Comté;2009;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;708.45
43;Franche-Comté;2009;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3426.48
43;Franche-Comté;2011;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;108.95
52;Pays de la Loire;2005;1;Administrations;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;4359.81
